日期,SN,测试结果,打高压测试测试1,打高压测试值1,打高压测试阀值1
2026-04-27 20:25:09,TTESTSN001,mes NG,NG,"3.000kV,AC,0.00 mA,0,",0.1mA-5mA
2026-04-27 20:26:48,TTTE,mes NG,NG,"3.000kV,AC,0.00 mA,0,",0.1mA-5mA,NG,"3.000kV,AC,0.00 mA,0,",0.1mA-5mA
2026-04-27 20:27:03,TESTSN001,mes NG,NG,"3.000kV,AC,0.00 mA,0,",0.1mA-5mA,NG,"3.000kV,AC,0.00 mA,0,",0.1mA-5mA,NG,"3.000kV,AC,0.00 mA,0,",0.1mA-5mA
2026-04-27 20:28:17,TESTSN001,NG,NG,"3.000kV,AC,0.00 mA,0,",0.1mA-5mA,NG,"3.000kV,AC,0.00 mA,0,",0.1mA-5mA,NG,"3.000kV,AC,0.00 mA,0,",0.1mA-5mA,NG,"3.000kV,AC,0.00 mA,0,",0.1mA-5mA
2026-04-27 20:30:51,TESTSN001,NG,NG,"3.000kV,AC,0.00 mA,0,",0.1mA-5mA
2026-04-27 20:38:47,TESTSN001,NG,NG,"0.000kV,AC,0.00 mA,0,",0.1mA-5mA
2026-04-27 20:39:40,TESTSN001,NG,NG,"0.000kV,AC,0.00 mA,0,",0.1mA-5mA,NG,"3.005kV,AC,0.00 mA,1,",0.1mA-5mA
2026-04-27 20:40:48,TESTSN001,NG,NG,"0.000kV,AC,0.00 mA,0,",0.1mA-5mA,NG,"3.005kV,AC,0.00 mA,1,",0.1mA-5mA,NG,"3.005kV,AC,0.00 mA,1,",0.1mA-5mA
2026-04-27 20:40:57,TESTSN001,NG,NG,"0.000kV,AC,0.00 mA,0,",0.1mA-5mA,NG,"3.005kV,AC,0.00 mA,1,",0.1mA-5mA,NG,"3.005kV,AC,0.00 mA,1,",0.1mA-5mA,NG,"3.005kV,AC,0.00 mA,1,",0.1mA-5mA
2026-04-27 20:51:36,TESTSN001,OK,PASS,"3.640kV,AC,0.54 mA,1, 
3.640kV,",0.1mA-5mA
2026-04-27 20:52:09,TESTSN001,OK,PASS,"3.640kV,AC,0.54 mA,1, 
3.640kV,",0.1mA-5mA,PASS,"3.640kV,AC,0.54 mA,1, 
3.640",0.1mA-5mA
2026-04-27 20:52:25,TESTSN001,NG,PASS,"3.640kV,AC,0.54 mA,1, 
3.640kV,",0.1mA-5mA,PASS,"3.640kV,AC,0.54 mA,1, 
3.640",0.1mA-5mA,NG,"3.640kV,AC,0.00 mA,0,",0.1mA-5mA
2026-04-27 20:52:32,TESTSN001,NG,PASS,"3.640kV,AC,0.54 mA,1, 
3.640kV,",0.1mA-5mA,PASS,"3.640kV,AC,0.54 mA,1, 
3.640",0.1mA-5mA,NG,"3.640kV,AC,0.00 mA,0,",0.1mA-5mA,NG,"3.640kV,AC,0.00 mA,0,",0.1mA-5mA
2026-04-29 15:07:02,H700000186X-260429-00001,mes NG,NG,"3.000kV,AC,0.00 mA,1,",0.1mA-5mA
2026-04-29 15:07:56,H531700000186XX-A01-260429-00001,mes NG,NG,"3.000kV,AC,0.00 mA,1,",0.1mA-5mA,NG,"3.000kV,AC,0.00 mA,1,",0.1mA-5mA
2026-04-29 15:08:41,H531700000186XX-A01-260429-00001,mes NG,NG,"3.000kV,AC,0.00 mA,1,",0.1mA-5mA,NG,"3.000kV,AC,0.00 mA,1,",0.1mA-5mA,NG,"3.000kV,AC,0.00 mA,1,",0.1mA-5mA
2026-04-29 15:37:53,H700000186X-260429-00003,mes NG,PASS,"3.640kV,AC,0.54 mA,1, 
3.640kV,AC,0.54 mA,1,",0.1mA-5mA
2026-04-29 15:38:40,H531700000186XX-A01-260429-00004,OK,PASS,"3.640kV,AC,0.54 mA,1, 
3.640kV,AC,0.54 mA,1,",0.1mA-5mA,PASS,"3.640kV,AC,0.54 mA,1, 
3.640k",0.1mA-5mA
2026-04-29 15:39:06,TESTSN001,OK,PASS,"3.640kV,AC,0.54 mA,1, 
3.640kV,AC,0.54 mA,1,",0.1mA-5mA,PASS,"3.640kV,AC,0.54 mA,1, 
3.640k",0.1mA-5mA,PASS,"3.640kV,AC,0.54 mA,1, 
3.640kV,",0.1mA-5mA
2026-04-29 15:39:16,TESTSN001,OK,PASS,"3.640kV,AC,0.54 mA,1, 
3.640kV,AC,0.54 mA,1,",0.1mA-5mA,PASS,"3.640kV,AC,0.54 mA,1, 
3.640k",0.1mA-5mA,PASS,"3.640kV,AC,0.54 mA,1, 
3.640kV,",0.1mA-5mA,PASS,"3.640kV,AC,0.54 mA,1, 
3.640kV,",0.1mA-5mA
2026-04-29 16:16:03,H531700000186XX-A01-260429-00001,mes NG,NG,"3.640kV,AC,0.00 mA,0,",0.1mA-5mA
2026-04-29 16:16:17,H531700000186XX-A01-260429-00001,mes NG,NG,"3.640kV,AC,0.00 mA,0,",0.1mA-5mA,PASS,"3.640kV,AC,0.55 mA,1, 
3.6",0.1mA-5mA
2026-04-29 16:23:42,H531700000186XX-A01-260429-00001,mes NG,PASS,"3.640kV,AC,0.55 mA,1,",0.1mA-5mA
2026-04-29 16:24:40,H531700000186XX-A01-260429-00001,mes NG,PASS,"3.640kV,AC,0.55 mA,1,",0.1mA-5mA,PASS,"3.640kV,AC,0.55 mA,1,",0.1mA-5mA
2026-04-29 16:40:48,H531700000186XX-A01-260429-00001,mes NG,PASS,"3.640kV,AC,0.57 mA,1, 
3.640kV,AC,0.57 mA,1,",0.1mA-5mA
2026-04-29 16:44:38,H700000186X-260429-00001,mes NG,PASS,"3.640kV,AC,0.57 mA,1,",0.1mA-5mA
2026-04-29 16:44:57,H531700000186XX-A01-260429-00001,mes NG,PASS,"3.640kV,AC,0.57 mA,1,",0.1mA-5mA,NG,"3.640kV,AC,0.00 mA,0,",0.1mA-5mA
2026-04-29 16:50:11,H531700000186XX-A01-260429-00001,mes NG,NG,"3.640kV,AC,0.00 mA,0,",0.1mA-5mA
2026-04-29 16:50:37,H531700000186XX-A01-260429-00001,mes NG,NG,"3.640kV,AC,0.00 mA,0,",0.1mA-5mA,NG,"3.640kV,AC,0.00 mA,0,",0.1mA-5mA
2026-04-29 16:52:17,H531700000186XX-A01-260429-00001,mes NG,NG,"3.640kV,AC,0.00 mA,0,",0.1mA-5mA
