日期,SN,测试结果,mcu软件版本测试1,mcu软件版本值1,mcu软件版本阀值1,红外通讯，收发码测试2,红外通讯，收发码值2,红外通讯，收发码阀值2,回充发码测试3,回充发码值3,回充发码阀值3
2026-04-23 10:55:45,,mes NG,NG,002.002.001,002.001.002-002.001.002,PASS,,-,NG,NG,-
2026-04-23 10:56:41,,mes NG,NG,002.002.001,002.001.002-002.001.002,PASS,,-,NG,NG,-
2026-04-23 10:57:57,,mes NG,NG,002.002.001,002.001.002-002.001.002,PASS,,-,NG,NG,-
2026-04-23 10:59:50,,mes NG,NG,002.002.001,002.001.002-002.001.002,PASS,,-,NG,NG,-
2026-04-23 14:08:06,,mes NG,NG,002.002.001,002.001.002-002.001.002,PASS,,-,NG,NG,-
2026-04-23 14:09:08,,mes NG,NG,002.002.001,002.001.002-002.001.002,PASS,,-,NG,NG,-
2026-04-23 14:12:10,,mes NG,NG,002.002.001,002.001.002-002.001.002,PASS,,-,NG,NG,-
2026-04-23 15:24:41,,mes NG,NG,002.002.001,002.001.002-002.001.002,PASS,,-,NG,NG,-
2026-04-23 15:28:11,,mes NG,NG,002.002.001,002.001.002-002.001.002,PASS,,-,NG,NG,-
2026-04-23 15:42:58,,mes NG,NG,002.002.001,002.001.002-002.001.002,PASS,,-,NG,NG,-
2026-04-23 15:53:02,,mes NG,NG,002.002.001,002.001.002-002.001.002,PASS,,-,NG,NG,-
2026-04-23 15:59:55,,mes NG,NG,002.002.001,002.001.002-002.001.002,PASS,,-,NG,NG,-
2026-04-23 16:02:45,,mes NG,NG,002.002.001,002.001.002-002.001.002,PASS,,-,NG,NG,-
2026-04-23 16:08:26,,mes NG,NG,002.002.001,002.001.002-002.001.002,PASS,,-,NG,NG,-
2026-04-23 16:13:15,,mes NG,NG,002.002.001,002.001.002-002.001.002,PASS,,-,NG,NG,-
2026-04-23 16:13:33,,mes NG,NG,002.002.001,002.001.002-002.001.002,PASS,,-,NG,NG,-
2026-04-23 16:21:19,123456,mes NG,NG,002.002.001,002.001.002-002.001.002,PASS,,-,NG,NG,-
2026-04-23 16:30:21,123456,mes NG,NG,002.002.001,002.001.002-002.001.002,PASS,,-,NG,NG,-
2026-04-23 16:32:15,2242G2242GT,mes NG,NG,002.002.001,002.001.002-002.001.002,PASS,,-,NG,NG,-
2026-04-23 16:32:49,,mes NG,NG,002.002.001,002.001.002-002.001.002,PASS,,-,NG,NG,-
2026-04-23 16:33:26,,mes NG,NG,002.002.001,002.001.002-002.001.002,PASS,,-,NG,NG,-
2026-04-23 16:35:03,,mes NG,NG,002.002.001,002.001.002-002.001.002,PASS,,-,NG,NG,-
2026-04-23 16:36:01,,mes NG,NG,002.002.001,002.001.002-002.001.002,PASS,,-,NG,NG,-
2026-04-23 16:42:07,TE,mes NG,NG,002.002.001,002.001.002-002.001.002,PASS,,-,NG,NG,-
2026-04-23 16:43:33,T,mes NG,NG,002.002.001,002.001.002-002.001.002,PASS,,-,NG,NG,-
2026-04-23 16:43:44,TESTSN002,NG,NG,002.002.001,002.001.002-002.001.002,PASS,,-,NG,NG,-
